Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
840	93.4197	93.3806	1.45502	0
841	93.4201	93.3805	1.45501	0
842	93.4204	93.3804	1.455	0
843	93.4208	93.3804	1.45498	0
844	93.4211	93.3803	1.45497	0
845	93.4215	93.3802	1.45496	0
846	93.4219	93.3802	1.45495	0
847	93.4222	93.3801	1.45494	0
848	93.4226	93.38	1.45493	0
849	93.4229	93.3799	1.45492	0
850	93.4233	93.3799	1.45491	0
851	93.4236	93.3798	1.4549	0
852	93.424	93.3797	1.45488	0
853	93.4244	93.3797	1.45487	0
854	93.4247	93.3796	1.45486	0
855	93.425	93.3796	1.45485	0
856	93.4254	93.3795	1.45484	0
857	93.4258	93.3794	1.45483	0
858	93.4261	93.3794	1.45482	0
859	93.4265	93.3793	1.45481	0
860	93.4268	93.3793	1.4548	0
861	93.4272	93.3792	1.45479	0
862	93.4275	93.3792	1.45478	0
863	93.4279	93.3791	1.45477	0
864	93.4282	93.379	1.45476	0
865	93.4286	93.379	1.45475	0
866	93.4289	93.379	1.45474	0
867	93.4292	93.3789	1.45473	0
868	93.4296	93.3789	1.45472	0
869	93.4299	93.3788	1.45471	0
870	93.4303	93.3788	1.45469	0
871	93.4306	93.3787	1.45468	0
872	93.4309	93.3787	1.45467	0
873	93.4313	93.3787	1.45466	0
874	93.4316	93.3786	1.45465	0
875	93.432	93.3786	1.45464	0
876	93.4323	93.3786	1.45463	0
877	93.4327	93.3785	1.45462	0
878	93.433	93.3785	1.45461	0
879	93.4333	93.3785	1.4546	0
880	93.4337	93.3784	1.45459	0
881	93.434	93.3784	1.45458	0
882	93.4343	93.3784	1.45457	0
883	93.4347	93.3784	1.45456	0
884	93.435	93.3784	1.45456	0
885	93.4354	93.3784	1.45455	0
886	93.4357	93.3783	1.45454	0
887	93.436	93.3783	1.45453	0
888	93.4364	93.3783	1.45452	0
889	93.4367	93.3783	1.45451	0
890	93.437	93.3783	1.4545	0
891	93.4373	93.3783	1.45449	0
892	93.4377	93.3783	1.45448	0
893	93.438	93.3783	1.45447	0
894	93.4383	93.3783	1.45446	0
895	93.4387	93.3783	1.45445	0
896	93.439	93.3783	1.45444	0
897	93.4393	93.3783	1.45443	0
898	93.4397	93.3783	1.45442	0
899	93.44	93.3784	1.45441	0
900	93.4403	93.3784	1.4544	0
901	93.4406	93.3784	1.45439	0
902	93.441	93.3784	1.45439	0
903	93.4413	93.3784	1.45438	0
904	93.4416	93.3785	1.45437	0
905	93.4419	93.3785	1.45436	0
906	93.4423	93.3785	1.45435	0
907	93.4426	93.3786	1.45434	0
908	93.4429	93.3786	1.45433	0
909	93.4432	93.3786	1.45432	0
910	93.4435	93.3787	1.45431	0
911	93.4439	93.3787	1.4543	0
912	93.4442	93.3787	1.4543	0
913	93.4445	93.3788	1.45429	0
914	93.4448	93.3788	1.45428	0
915	93.4451	93.3789	1.45427	0
916	93.4455	93.3789	1.45426	0
917	93.4458	93.379	1.45425	0
918	93.4461	93.3791	1.45424	0
919	93.4464	93.3791	1.45423	0
920	93.4467	93.3792	1.45423	0
921	93.4471	93.3792	1.45422	0
922	93.4474	93.3793	1.45421	0
923	93.4477	93.3794	1.4542	0
924	93.448	93.3794	1.45419	0
925	93.4483	93.3795	1.45418	0
926	93.4486	93.3796	1.45417	0
927	93.4489	93.3797	1.45417	0
928	93.4493	93.3798	1.45416	0
929	93.4496	93.3798	1.45415	0
