Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
567.24	93.922	92.8888	1	0
568.01	92.825	92.8924	1	0
568.78	92.872	92.8961	1	0
569.55	92.755	92.8997	1	0
570.31	93.162	92.9033	1	0
571.08	92.987	92.9068	1	0
571.85	92.752	92.9104	1	0
572.62	93.365	92.914	1	0
573.38	93.13	92.9174	1	0
574.15	93.362	92.921	1	0
574.92	93.264	92.9245	1	0
575.69	93.459	92.9279	1	0
576.45	92.995	92.9314	1	0
577.22	93.058	92.9348	1	0
577.99	93.428	92.9382	1	0
578.75	93.451	92.9416	1	0
579.52	93.193	92.945	1	0
580.29	93.169	92.9484	1	0
581.05	93.253	92.9517	1	0
581.82	93.033	92.9551	1	0
582.59	92.997	92.9584	1	0
583.35	93.297	92.9617	1	0
584.12	93.322	92.965	1	0
584.89	93.129	92.9683	1	0
585.65	93.192	92.9715	1	0
586.42	93.466	92.9748	1	0
587.19	93.34	92.978	1	0
587.95	92.671	92.9812	1	0
588.72	93.092	92.9844	1	0
589.48	93.179	92.9876	1	0
590.25	93.771	92.9908	1	0
591.02	94.087	92.994	1	0
591.78	93.698	92.9971	1	0
592.55	93.123	93.0002	1	0
593.31	92.888	93.0033	1	0
594.08	93.343	93.0064	1	0
594.84	92.958	93.0095	1	0
595.61	92.614	93.0126	1	0
596.37	92.518	93.0156	1	0
597.14	92.199	93.0187	1	0
597.9	92.923	93.0217	1	0
598.67	92.508	93.0247	1	0
599.43	92.845	93.0277	1	0
600.2	93.836	93.0307	1	0
600.96	93.5	93.0337	1	0
601.73	92.443	93.0366	1	0
602.49	92.467	93.0396	1	0
603.26	92.544	93.0425	1	0
604.02	92.768	93.0454	1	0
604.79	92.851	93.0483	1	0
605.55	93.114	93.0512	1	0
606.32	93.235	93.0541	1	0
607.08	92.989	93.057	1	0
607.84	93.103	93.0598	1	0
608.61	93.347	93.0627	1	0
609.37	93.827	93.0655	1	0
610.14	93.26	93.0683	1	0
610.9	92.634	93.0711	1	0
611.66	93.677	93.0739	1	0
612.43	93.701	93.0767	1	0
613.19	92.869	93.0794	1	0
613.96	92.991	93.0822	1	0
614.72	93.379	93.0849	1	0
615.48	92.486	93.0876	1	0
616.25	93.041	93.0904	1	0
617.01	93.675	93.0931	1	0
617.77	92.658	93.0958	1	0
618.54	92.931	93.0985	1	0
619.3	93.218	93.1011	1	0
620.06	92.906	93.1038	1	0
620.82	92.909	93.1064	1	0
621.59	93.403	93.1091	1	0
622.35	92.476	93.1117	1	0
623.11	92.828	93.1143	1	0
623.88	92.988	93.1169	1	0
624.64	92.68	93.1195	1	0
625.4	92.671	93.1221	1	0
626.16	93.581	93.1246	1	0
626.93	92.96	93.1272	1	0
627.69	92.881	93.1297	1	0
628.45	92.886	93.1323	1	0
629.21	93.047	93.1348	1	0
629.97	92.677	93.1373	1	0
630.74	93.31	93.1398	1	0
631.5	92.688	93.1423	1	0
632.26	92.636	93.1448	1	0
633.02	93.272	93.1472	1	0
633.78	93.329	93.1497	1	0
634.55	93.338	93.1522	1	0
635.31	93.027	93.1546	1	0
636.07	93.43	93.157	1	0
636.83	93.046	93.1594	1	0
637.59	93.11	93.1618	1	0
638.35	93.666	93.1642	1	0
639.11	93.016	93.1666	1	0
639.87	93.45	93.169	1	0
640.64	93.187	93.1714	1	0
641.4	92.423	93.1737	1	0
642.16	92.735	93.1761	1	0
642.92	93.023	93.1784	1	0
643.68	93.411	93.1807	1	0
644.44	93.022	93.1831	1	0
645.2	93.817	93.1854	1	0
645.96	92.956	93.1877	1	0
646.72	93.177	93.19	1	0
647.48	92.744	93.1922	1	0
648.24	93.135	93.1945	1	0
649	93.395	93.1968	1	0
649.76	92.491	93.199	1	0
650.52	93.475	93.2013	1	0
651.28	92.437	93.2035	1	0
652.04	93.677	93.2057	1	0
652.8	93.359	93.2079	1	0
653.56	93.486	93.2101	1	0
654.32	93.286	93.2123	1	0
655.08	93.568	93.2145	1	0
655.84	93.554	93.2167	1	0
656.6	93.485	93.2189	1	0
657.36	93.321	93.221	1	0
658.12	93.712	93.2232	1	0
658.88	93.133	93.2254	1	0
659.64	93.688	93.2275	1	0
660.4	92.873	93.2296	1	0
661.16	92.997	93.2317	1	0
661.91	93.299	93.2338	1	0
662.67	92.822	93.2359	1	0
663.43	92.962	93.238	1	0
664.19	92.749	93.2401	1	0
664.95	93.006	93.2422	1	0
665.71	92.714	93.2443	1	0
666.47	93.343	93.2463	1	0
667.23	92.855	93.2484	1	0
667.98	93.123	93.2504	1	0
668.74	92.937	93.2525	1	0
669.5	91.813	93.2545	1	0
670.26	93.011	93.2565	1	0
671.02	93.005	93.2585	1	0
671.77	92.855	93.2605	1	0
672.53	92.709	93.2625	1	0
673.29	92.915	93.2645	1	0
674.05	93.152	93.2665	1	0
674.81	93.237	93.2685	1	0
675.56	92.999	93.2704	1	0
676.32	92.564	93.2724	1	0
677.08	92.624	93.2743	1	0
677.84	93.019	93.2763	1	0
678.59	92.643	93.2782	1	0
679.35	93.162	93.2801	1	0
680.11	93.216	93.2821	1	0
680.86	93.005	93.284	1	0
681.62	93.292	93.2859	1	0
682.38	92.707	93.2878	1	0
683.13	93.714	93.2897	1	0
683.89	92.87	93.2916	1	0
684.65	93.105	93.2934	1	0
685.4	93	93.2953	1	0
686.16	93.004	93.2972	1	0
686.92	93.057	93.299	1	0
687.67	93.516	93.3009	1	0
688.43	92.592	93.3027	1	0
689.19	93.205	93.3045	1	0
689.94	92.945	93.3064	1	0
690.7	92.332	93.3082	1	0
691.46	93.707	93.31	1	0
692.21	92.953	93.3118	1	0
692.97	92.345	93.3136	1	0
693.72	92.463	93.3154	1	0
694.48	93.026	93.3172	1	0
695.23	92.98	93.3189	1	0
695.99	93.152	93.3207	1	0
696.75	93.338	93.3225	1	0
697.5	93.006	93.3243	1	0
698.26	93.207	93.326	1	0
699.01	92.125	93.3277	1	0
699.77	92.921	93.3295	1	0
700.52	93.759	93.3312	1	0
701.28	92.815	93.333	1	0
702.03	92.752	93.3347	1	0
702.79	92.719	93.3364	1	0
703.54	93.064	93.3381	1	0
704.3	92.706	93.3398	1	0
705.05	93.721	93.3415	1	0
705.81	93.33	93.3432	1	0
706.56	93.225	93.3449	1	0
707.31	93.01	93.3465	1	0
708.07	92.665	93.3482	1	0
708.82	92.588	93.3499	1	0
709.58	92.539	93.3515	1	0
710.33	92.862	93.3532	1	0
711.09	92.659	93.3548	1	0
711.84	92.339	93.3565	1	0
712.59	92.656	93.3581	1	0
713.35	92.548	93.3597	1	0
714.1	92.69	93.3613	1	0
714.85	93.083	93.3629	1	0
715.61	92.626	93.3646	1	0
716.36	92.972	93.3662	1	0
717.11	93.473	93.3678	1	0
717.87	92.718	93.3694	1	0
718.62	93.065	93.3709	1	0
719.37	92.873	93.3725	1	0
720.13	93.336	93.3741	1	0
720.88	92.13	93.3757	1	0
721.63	92.552	93.3772	1	0
722.39	92.667	93.3788	1	0
723.14	92.977	93.3803	1	0
723.89	92.799	93.3819	1	0
724.64	93.12	93.3834	1	0
725.4	92.679	93.385	1	0
726.15	93.008	93.3865	1	0
726.9	93.414	93.388	1	0
727.65	93.441	93.3895	1	0
728.41	92.841	93.3911	1	0
729.16	93.185	93.3926	1	0
729.91	92.751	93.3941	1	0
730.66	92.886	93.3956	1	0
731.42	93.178	93.3971	1	0
732.17	92.944	93.3986	1	0
732.92	92.68	93.4	1	0
733.67	92.257	93.4015	1	0
734.42	93.399	93.403	1	0
735.17	93.127	93.4044	1	0
735.93	93.403	93.4059	1	0
736.68	93.484	93.4074	1	0
737.43	92.542	93.4088	1	0
738.18	93.178	93.4103	1	0
738.93	93.187	93.4117	1	0
739.68	93.01	93.4131	1	0
740.43	93.35	93.4146	1	0
741.18	92.613	93.416	1	0
741.94	93.278	93.4174	1	0
742.69	92.438	93.4189	1	0
743.44	93.23	93.4203	1	0
744.19	93.712	93.4217	1	0
744.94	93.595	93.4231	1	0
745.69	92.797	93.4245	1	0
