Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
614.72	93.379	93.0297	1.46874	0
615.48	92.486	93.0299	1.4687	0
616.25	93.041	93.0302	1.46867	0
617.01	93.675	93.0304	1.46863	0
617.77	92.658	93.0306	1.4686	0
618.54	92.931	93.0308	1.46856	0
619.3	93.218	93.031	1.46853	0
620.06	92.906	93.0311	1.46849	0
620.82	92.909	93.0313	1.46846	0
621.59	93.403	93.0315	1.46842	0
622.35	92.476	93.0316	1.46839	0
623.11	92.828	93.0317	1.46835	0
623.88	92.988	93.0318	1.46832	0
624.64	92.68	93.0319	1.46829	0
625.4	92.671	93.032	1.46825	0
626.16	93.581	93.0321	1.46822	0
626.93	92.96	93.0322	1.46819	0
627.69	92.881	93.0322	1.46815	0
628.45	92.886	93.0323	1.46812	0
629.21	93.047	93.0323	1.46809	0
629.97	92.677	93.0324	1.46805	0
630.74	93.31	93.0324	1.46802	0
631.5	92.688	93.0324	1.46799	0
632.26	92.636	93.0324	1.46796	0
633.02	93.272	93.0324	1.46792	0
633.78	93.329	93.0324	1.46789	0
634.55	93.338	93.0324	1.46786	0
635.31	93.027	93.0324	1.46783	0
636.07	93.43	93.0324	1.4678	0
636.83	93.046	93.0323	1.46776	0
637.59	93.11	93.0323	1.46773	0
638.35	93.666	93.0323	1.4677	0
639.11	93.016	93.0322	1.46767	0
639.87	93.45	93.0322	1.46764	0
640.64	93.187	93.0321	1.46761	0
641.4	92.423	93.0321	1.46758	0
642.16	92.735	93.032	1.46755	0
642.92	93.023	93.0319	1.46751	0
643.68	93.411	93.0319	1.46748	0
644.44	93.022	93.0318	1.46745	0
645.2	93.817	93.0317	1.46742	0
645.96	92.956	93.0317	1.46739	0
646.72	93.177	93.0316	1.46736	0
647.48	92.744	93.0315	1.46733	0
648.24	93.135	93.0314	1.4673	0
649	93.395	93.0313	1.46727	0
649.76	92.491	93.0312	1.46724	0
650.52	93.475	93.0311	1.46721	0
651.28	92.437	93.0311	1.46718	0
652.04	93.677	93.031	1.46715	0
652.8	93.359	93.0309	1.46712	0
653.56	93.486	93.0308	1.4671	0
654.32	93.286	93.0307	1.46707	0
655.08	93.568	93.0306	1.46704	0
655.84	93.554	93.0305	1.46701	0
656.6	93.485	93.0304	1.46698	0
657.36	93.321	93.0303	1.46695	0
658.12	93.712	93.0303	1.46692	0
658.88	93.133	93.0302	1.46689	0
659.64	93.688	93.0301	1.46686	0
660.4	92.873	93.03	1.46684	0
661.16	92.997	93.0299	1.46681	0
661.91	93.299	93.0298	1.46678	0
662.67	92.822	93.0298	1.46675	0
663.43	92.962	93.0297	1.46672	0
664.19	92.749	93.0296	1.4667	0
664.95	93.006	93.0295	1.46667	0
665.71	92.714	93.0295	1.46664	0
666.47	93.343	93.0294	1.46661	0
667.23	92.855	93.0293	1.46659	0
667.98	93.123	93.0293	1.46656	0
668.74	92.937	93.0292	1.46653	0
669.5	91.813	93.0292	1.46651	0
670.26	93.011	93.0291	1.46648	0
671.02	93.005	93.0291	1.46645	0
671.77	92.855	93.029	1.46643	0
672.53	92.709	93.029	1.4664	0
673.29	92.915	93.029	1.46637	0
674.05	93.152	93.029	1.46635	0
674.81	93.237	93.0289	1.46632	0
675.56	92.999	93.0289	1.46629	0
676.32	92.564	93.0289	1.46627	0
677.08	92.624	93.0289	1.46624	0
677.84	93.019	93.0289	1.46621	0
678.59	92.643	93.0289	1.46619	0
679.35	93.162	93.0289	1.46616	0
680.11	93.216	93.0289	1.46614	0
680.86	93.005	93.0289	1.46611	0
681.62	93.292	93.0289	1.46609	0
682.38	92.707	93.029	1.46606	0
683.13	93.714	93.029	1.46603	0
683.89	92.87	93.029	1.46601	0
684.65	93.105	93.0291	1.46598	0
685.4	93	93.0291	1.46596	0
686.16	93.004	93.0292	1.46593	0
686.92	93.057	93.0293	1.46591	0
687.67	93.516	93.0293	1.46588	0
688.43	92.592	93.0294	1.46586	0
689.19	93.205	93.0295	1.46583	0
689.94	92.945	93.0296	1.46581	0
690.7	92.332	93.0297	1.46579	0
691.46	93.707	93.0298	1.46576	0
692.21	92.953	93.0299	1.46574	0
692.97	92.345	93.03	1.46571	0
693.72	92.463	93.0301	1.46569	0
694.48	93.026	93.0303	1.46566	0
695.23	92.98	93.0304	1.46564	0
695.99	93.152	93.0305	1.46562	0
696.75	93.338	93.0307	1.46559	0
697.5	93.006	93.0308	1.46557	0
698.26	93.207	93.031	1.46555	0
699.01	92.125	93.0312	1.46552	0
699.77	92.921	93.0313	1.4655	0
700.52	93.759	93.0315	1.46547	0
701.28	92.815	93.0317	1.46545	0
702.03	92.752	93.0319	1.46543	0
702.79	92.719	93.0321	1.4654	0
703.54	93.064	93.0323	1.46538	0
704.3	92.706	93.0325	1.46536	0
705.05	93.721	93.0328	1.46534	0
705.81	93.33	93.033	1.46531	0
706.56	93.225	93.0332	1.46529	0
707.31	93.01	93.0335	1.46527	0
708.07	92.665	93.0337	1.46525	0
708.82	92.588	93.034	1.46522	0
709.58	92.539	93.0342	1.4652	0
710.33	92.862	93.0345	1.46518	0
711.09	92.659	93.0348	1.46516	0
711.84	92.339	93.0351	1.46513	0
712.59	92.656	93.0354	1.46511	0
713.35	92.548	93.0357	1.46509	0
714.1	92.69	93.036	1.46507	0
714.85	93.083	93.0363	1.46504	0
715.61	92.626	93.0366	1.46502	0
716.36	92.972	93.037	1.465	0
717.11	93.473	93.0373	1.46498	0
717.87	92.718	93.0376	1.46496	0
718.62	93.065	93.038	1.46494	0
719.37	92.873	93.0384	1.46491	0
720.13	93.336	93.0387	1.46489	0
720.88	92.13	93.0391	1.46487	0
721.63	92.552	93.0395	1.46485	0
722.39	92.667	93.0399	1.46483	0
723.14	92.977	93.0402	1.46481	0
723.89	92.799	93.0406	1.46479	0
724.64	93.12	93.041	1.46477	0
725.4	92.679	93.0415	1.46474	0
726.15	93.008	93.0419	1.46472	0
726.9	93.414	93.0423	1.4647	0
727.65	93.441	93.0427	1.46468	0
728.41	92.841	93.0432	1.46466	0
729.16	93.185	93.0436	1.46464	0
729.91	92.751	93.0441	1.46462	0
730.66	92.886	93.0445	1.4646	0
731.42	93.178	93.045	1.46458	0
732.17	92.944	93.0455	1.46456	0
732.92	92.68	93.0459	1.46454	0
733.67	92.257	93.0464	1.46452	0
734.42	93.399	93.0469	1.4645	0
735.17	93.127	93.0474	1.46448	0
